255 255 255,302401
228 205 158,4159553
201 26 9,302421
0 85 191,302423
242 205 55,302424
5 19 29,302426
35 120 65,302428
169 85 0,6186012
90 147 219,4179826
254 138 24,4524929
0 143 155,6213778
187 233 11,4621557
146 57 120,6096942
149 138 115,4549436
10 52 99,4184108
24 70 50,6055169
160 188 172,6099189
114 14 15,4539114
248 187 61,6073040
88 42 18,4221744
160 165 169,4211399
108 110 104,4210719
159 195 233,6184484
200 112 160,6217797
228 173 200,6031883
255 240 58,6058014
63 54 145,6231376
219 172 52,6069887
53 33 0,6194729
204 112 42,6215606
7 139 201,6151664
54 174 191,6097493
173 195 192,6058016
172 120 186,4619521
155 154 90,6058245
255 105 143,6258091
